Time_Epoch,transmitted_latitude (deg),transmitted_longitude (deg),transmitted_heading (deg),transmitted_speed (km/hr),transmitted_altitude (m),latitude_self (deg),longitude_self (deg),Self_speed (km/hr),Self_heading (degrees),Self_Altitude (m),distance (m),latency (ms),throughput (bits/sec),data_size (kb),Packet_Error_Rate,Transmission_Time (ms),Transmission_Frequency (Hz),Configuration,Channel,Bandwidth,Modulation,Tx/Rx Configuration,Device Details,Tx Power (dB),Receiver Gain (dB),Path_Loss (dB),ERP (dBm),Rx_Power (dBm),Noise_Power (dBm),SNR (dB),scenario,RSSI_antenna1 (dBm),RSSI_antenna2 (dBm)
18-05-2024 03:40,17.5384847,78.237031,90,71.90884412,517.701,17.5385311,78.2371695,64.63023832,100.8774131,489.1310269,15.57638999,0.4177775,3082.980773,161,0.001701963,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,131.7310859,-105.7310859,-237.4621717,-347.2897843,109.8276126,S1,-91,-108
18-05-2024 03:40,17.5384876,78.2370346,51.14662568,57.44114749,517.121,17.5385295,78.2371711,62.36955548,67.46416827,544.7035271,15.21697489,0.3722915,3760.494129,175,0.000612528,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,131.5283161,-105.5283161,-237.0566322,-347.2897843,110.2331521,S1,-88,-105
18-05-2024 03:40,17.5384985,78.2370401,26.77492491,58.52165902,517.524,17.5385295,78.237171,60.13689645,14.43439237,490.974771,14.31578335,0.4291295,3281.060845,176,0.001248404,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,130.998052,-104.998052,-235.9961039,-347.2897843,111.2936804,S1,-95,-108
18-05-2024 03:40,17.5385025,78.2370495,66.94869908,61.8573605,517.42,17.5385295,78.237171,69.55474973,84.51703808,543.0920369,13.24207976,0.3821015,3622.074239,173,0.000265325,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,130.3208736,-104.3208736,-234.6417472,-347.2897843,112.6480371,S1,-96,-105
18-05-2024 03:40,17.5385062,78.2370647,76.31907465,69.69581468,516.866,17.5385292,78.2371713,65.64311637,94.32288343,545.3062066,11.6011865,0.3779855,3703.845782,175,9.76E-05,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,129.1717978,-103.1717978,-232.3435956,-347.2897843,114.9461887,S1,-91,-105
18-05-2024 03:40,17.5385062,78.2370647,90,76.20774737,516.866,17.538529,78.2371718,69.07288595,75.71795443,493.3055688,11.64817187,0.3738675,3466.468736,162,0.001534255,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,129.206905,-103.206905,-232.41381,-347.2897843,114.8759742,S1,-79,-105
18-05-2024 03:40,17.5385012,78.2370782,110.3231368,43.12884802,515.947,17.538529,78.2371718,66.564041,98.1326838,490.0637177,10.40354513,0.4005045,3475.616379,174,0.001111187,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,128.2253767,-102.2253767,-230.4507535,-347.2897843,116.8390308,S1,-89,-105
18-05-2024 03:40,17.5384861,78.2370927,136.1612419,50.27854709,516.225,17.5385292,78.2371717,64.73829205,120.1673401,495.2419645,9.649464843,0.3871215,3637.101014,176,0.002119067,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,127.5718142,-101.5718142,-229.1436284,-347.2897843,118.1461559,S1,-85,-108
18-05-2024 03:40,17.5384861,78.2370927,90,60.56846838,516.225,17.5385291,78.2371717,66.64131982,101.3954653,487.3515957,9.643998546,0.4263805,3039.538628,162,0.00187142,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,127.5668923,-101.5668923,-229.1337847,-347.2897843,118.1559996,S1,-87,-105
18-05-2024 03:40,17.5384467,78.2371152,150.2707818,47.83419185,515.095,17.5385291,78.2371717,64.18914205,161.4125539,490.8294567,10.91585021,0.4316395,3261.981352,176,0.000553046,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,128.642901,-102.642901,-231.2858019,-347.2897843,116.0039824,S1,-97,-101
18-05-2024 03:40,17.5384271,78.2371517,118.2351893,60.76217217,514.031,17.5385291,78.2371717,64.20177056,138.2214125,536.6225926,11.48686121,0.4532345,3106.559629,176,0.001781621,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,129.0857771,-103.0857771,-232.1715542,-347.2897843,115.1182301,S1,-89,-108
18-05-2024 03:40,17.5384271,78.2371517,90,40.87646529,514.031,17.5385291,78.2371716,66.02990296,102.3364099,492.972041,11.48490308,0.4612775,2809.588588,162,0.001600071,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,129.0842963,-103.0842963,-232.1685926,-347.2897843,115.1211917,S1,-78,-100
18-05-2024 03:40,17.5383844,78.237215,124.0022463,69.26532617,512.928,17.5385291,78.2371716,61.44915642,138.8974187,535.3204928,16.6644839,0.4486645,3120.371681,175,0.000176234,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,132.317587,-106.317587,-238.635174,-347.2897843,108.6546103,S1,-94,-105
18-05-2024 03:40,17.5383471,78.237291,116.1413183,73.04247347,513.65,17.5385292,78.2371713,63.35468084,100.3408043,534.8938674,23.82667599,0.3876685,3590.696691,174,0.003750481,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,135.4230188,-109.4230188,-244.8460376,-347.2897843,102.4437467,S1,-85,-103
18-05-2024 03:40,17.5383471,78.237291,90,47.39886533,513.65,17.5385292,78.2371712,68.99492197,101.0273947,492.9562112,23.83234127,0.4578805,2795.489216,160,0.004091233,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,135.4250838,-109.4250838,-244.8501676,-347.2897843,102.4396167,S1,-89,-108
18-05-2024 03:40,17.5383152,78.2373541,116.818731,62.03182375,505.636,17.5385292,78.2371712,63.57958213,105.3024435,535.175907,30.62814483,0.3725355,3779.505577,176,0.004436193,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,137.6041635,-111.6041635,-249.2083269,-347.2897843,98.08145736,S1,-100,-108
18-05-2024 03:40,17.5382991,78.2374331,101.5189894,65.28824507,504.046,17.5385292,78.2371711,67.03413421,114.2893342,532.7163364,37.71470253,0.4102145,3432.350636,176,0.005349555,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,139.4119634,-113.4119634,-252.8239267,-347.2897843,94.46585758,S1,-88,-108
18-05-2024 03:40,17.5382991,78.2374331,90,47.11534195,504.046,17.5385289,78.2371713,64.74773729,77.41601556,528.402532,37.67662106,0.4553415,2846.215423,162,0.006874757,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,139.4031886,-113.4031886,-252.8063771,-347.2897843,94.48340716,S1,-88,-105
18-05-2024 03:40,17.5382614,78.237591,99.1100263,75.02180628,507.02,17.5385289,78.2371713,69.20720189,80.00707535,532.8235599,53.50057433,0.3976545,3480.408244,173,0.010679153,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,142.4489185,-116.4489185,-258.897837,-347.2897843,88.39194728,S1,-92,-108
18-05-2024 03:40,17.5382614,78.237591,90,49.6905512,507.02,17.5385293,78.23717,64.09793517,104.8595159,484.4202244,53.64005687,0.4167555,3071.345189,160,0.008238689,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,142.4715342,-116.4715342,-258.9430684,-347.2897843,88.34671586,S1,-92,-108
18-05-2024 03:40,17.5382374,78.2376742,106.0908163,64.40164835,508.883,17.5385293,78.2371694,61.56077626,121.4791267,531.4755307,62.58155456,0.4468885,3150.67405,176,0.006929056,1,10,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,143.8106766,-117.8106766,-261.6213531,-347.2897843,85.66843116,S1,-85,-105
18-05-2024 03:40,17.5382067,78.2377731,107.2451037,70.27565775,516.652,17.5385293,78.2371694,62.1529859,93.98208233,492.6599714,73.37207001,0.3803075,3681.231635,175,0.008224392,1,20,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,145.1923651,-119.1923651,-264.3847301,-347.2897843,82.90505417,S1,-99,-103
