time_epoch,transmitted_latitude ,transmitted_longitude ,transmitted_heading ,transmitted_altitude ,transmitted_count ,transmitted_speed (km/hr) ,transmitted_pressure,transmitted_temperature,transmitted_humidity,transmitted_condition,Self_speed (km/hr) ,Self_heading (degrees) ,Self_Altitude (m),latency (ms) ,data_size (kb) ,throughput (bits/sec) ,latitude_self ,longitude_self ,distance (m) ,Configuration ,Channel ,Bandwidth ,Modulation ,Tx/Rx Configuration ,Device Details ,Tx Power (dB) ,Receiver Gain (dBi) ,distance_km ,Path_Loss (dB) ,ERP (dBm) ,Rx_Power (dBm) ,Noise_Power (dBm) ,SNR (dB) ,Packet_Error_Rate ,scenario,RSSI_antenna1,RSSI_antenna2
22-05-2024 15:55,17.6013506,78.1270512,98,486,20,0,94877,29,39,SUNNY,60.97286528,101.2866708,461.6561888,0.2810625,162,4611.074049,17.6024606,78.1271391,123.2039959,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.123203996,149.6942455,-123.6942455,-273.388491,-347.2897843,73.9012933,0.202942163,I2V-S1,-93,-105
22-05-2024 15:55,17.6013506,78.1270518,98,486,21,0,94877,29,39,SUNNY,68.4354735,100.631641,461.4324285,0.2310015,161,5575.72137,17.6024606,78.1271391,123.1991898,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.12319919,149.6939067,-123.6939067,-273.3878134,-347.2897843,73.9019709,0.16977645,I2V-S1,-93,-105
22-05-2024 15:55,17.6013506,78.1270525,98,486,22,0,94877,29,39,SUNNY,64.82722032,72.96564773,509.7747984,0.2780885,162,4660.386891,17.6024608,78.127139,123.2149061,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.123214906,149.6950146,-123.6950146,-273.3900292,-347.2897843,73.8997551,0.036119233,I2V-S1,-94,-108
22-05-2024 15:55,17.6013506,78.1270525,98,486,23,0,94877,29,39,SUNNY,68.27644974,74.68877247,463.2692156,0.2644145,162,4901.395347,17.6024608,78.1271389,123.2141157,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.123214116,149.6949589,-123.6949589,-273.3899178,-347.2897843,73.8998665,0.051887811,I2V-S1,-94,-108
22-05-2024 15:55,17.6013506,78.1270531,98,486,24,0,94877,29,39,SUNNY,66.28631326,72.22317221,459.9566095,0.2176565,162,5954.336305,17.6024608,78.1271389,123.2093922,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.123209392,149.6946259,-123.6946259,-273.3892518,-347.2897843,73.9005325,0.036864239,I2V-S1,-93,-108
22-05-2024 15:55,17.6013505,78.1270537,98,486,25,0,94877,29,39,SUNNY,67.4024452,84.40500658,512.3935085,0.2120585,175,6601.95182,17.6024606,78.1271389,123.1936638,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.123193664,149.693517,-123.693517,-273.387034,-347.2897843,73.9027503,0.148789638,I2V-S1,-93,-105
22-05-2024 15:55,17.6013505,78.1270537,98,486,25,0,94877,29,39,SUNNY,69.7442843,89.38881185,465.0278159,0.3792825,175,3691.180057,17.6024579,78.1271387,122.8940868,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.122894087,149.6723694,-123.6723694,-273.3447388,-347.2897843,73.9450455,0.175072174,I2V-S1,-94,-105
22-05-2024 15:55,17.6013505,78.1270537,98,486,26,0,94877,29,39,SUNNY,61.23695314,76.71892361,515.2063412,0.2730855,162,4745.766436,17.6024579,78.1271387,122.8940868,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.122894087,149.6723694,-123.6723694,-273.3447388,-347.2897843,73.9450455,0.136600323,I2V-S1,-93,-105
22-05-2024 15:55,17.6013503,78.1270543,98,486,27,0,94877,29,39,SUNNY,67.03008517,118.5419059,511.0964455,0.2104025,176,6691.935695,17.6024471,78.127138,121.7139692,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.121713969,149.5885581,-123.5885581,-273.1771162,-347.2897843,74.1126681,0.128801309,I2V-S1,-92,-105
22-05-2024 15:55,17.6013501,78.1270548,98,486,28,0,94877,29,39,SUNNY,69.71670648,92.84428059,458.3424471,0.2654415,176,5304.370266,17.6024266,78.1271365,119.4577565,C-V2X (PC5 Mode 4),182 ch (5910 MHz),10 MHz,QPSK MCS 5,1 Tx 2 Rx,C-V2X OBU,21 dB,5,0.119457756,149.4260367,-123.4260367,-272.8520734,-347.2897843,74.4377109,0.0812514,I2V-S1,-94,-108
